word,sentiment_score
කම්මැලියි,-1
අවුල් සහගතයි,-1
අභිප්රේරණය,0
නොකළ,-1
අතිමහත්,-1
ආතතිය ඇති කරයි,-1
වෙහෙසකරයි,-1
ඉල්ලනවා,-1
අනම්ය,-1
කලකිරීමයි,-1
නරක,-1
ඉතා නරකයි,-1
නරකම,-1
කලකිරීමයි,-1
අභයෝගාත්මක,-1
දුෂ්කර,-1
අවුල් සහගතයි,-1
අතිමහත්,-1
ආතති සහගතයි,-1
අධෛර්යමත් කරයි,-1
ආස්වාදයක් නැති,-1
කම්මැලියි,-1
පුනරාවර්තන,-1
ඒකාකාරී,-1
ඉල්ලනවා,-1
කාලය කා දමන,-1
බිය ගැන්වීම,-1
අසංවිධානාත්මක,-1
ආතතිය ඇති කරයි,-1
අනම්ය,-1
නොවේ,-1
වෙහෙසකරයි,-1
අධික ලෙස පටවා ඇත,-1
වෙන් වූ,-1
මර්දනකාරී,-1
අතිරික්ත,-1
එකතැන පල්වෙන,-1
බැහැර කරන,-1
අවධානය වෙනතකට යොමු කරයි,-1
අසමානයි,-1
ජලාපවහනය,-1
කුපිත කරයි,-1
විසන්ධි කිරීම,-1
බරයි,-1
අධෛර්යමත් කිරීම,-1
ප්රතිචාර නොදක්වයි,-1
අභියෝග රහිතයි,-1
විපාක නොදෙන,-1
අවුල් සහගතයි,-1
සහාය නොදක්වයි,-1
පුද්ගල නොවන,-1
කාලය නාස්ති කිරීම,-1
නොගැලපෙන,-1
සීමා සහිතයි,-1
දෝෂ සහිතයි,-1
අකාර්යක්ෂමයි,-1
නොගැඹුරු,-1
යල් පැන ගිය,-1
අවුල් සහගතයි,-1
සංකීර්ණයි,-1
විශ්වාස කළ නොහැකියි,-1
අනවබෝධය,-1
මිල අධිකයි,-1
ව්‍යුහගත නොකළ,-1
අදාල නැත,-1
මතුපිටින්,-1
ගැඹුරක් නොමැත,-1
අකාර්යක්ෂමයි,-1
තෘප්තිමත් නොවේ,-1
හුදකලා,-1
දෘඪ,-1
සහයෝගය නොමැතිකම,-1
මිල අධිකයි,-1
පරිශීලක-හිතකාමී නොවේ,-1
දුර්වල සංචලනය,-1
සීමිත අන්තර්ක්‍රියා,-1
අඩු ගුණාත්මක,-1
නියැලීම නොමැතිකම,-1
අපේක්ෂාවන් අසාර්ථක කරයි,-1
විසන්ධි විය,-1
දුර්වල ගුණාත්මකභාවය,-1
නරකයි,-1
නරක,-1
මධ්යස්ථ,-1
සිත් ඇදගන්නාසුළු නොවේ,-1
බලාපොරොත්තු කඩකරයි,-1
සබ්පාර්,-1
පහත්,-1
කැතයි,-1
භයානකයි,-1
සෘණාත්මකයි,-1
අහිතකරයි,-1
දුර්වල,-1
කලකිරීමයි,-1
අසාර්ථකයි,-1
දෝෂ සහිතයි,-1
ගැටළු සහගතයි,-1
අප්‍රසන්නයි,-1
යහපත,1
වඩා හොඳ,1
හොඳින් කළා,1
විශිෂ්ටයි,1
කැපී පෙනෙන,1
පුදුමයි,1
නියමයි,1
සිත් ඇදගන්නා සුළුය,1
සුවිශේෂී,1
නියමයි,1
පුදුම සහගතයි,1
මහා,1
සුපිරියි,1
ප්රියජනකයි,1
ප්‍රශංසනීයයි,1
දක්ෂයි,1
ධනාත්මක,1
ප්‍රශංසනීයයි,1
A+,1
පොරොන්දු වෙනවා,1
ආශ්වාදජනකයි,1
පෙළඹවීම,1
දිරිගන්වන සුළුය,1
ආධාරක,1
යෙදෙන,1
පොහොසත් කරනවා,1
බලගැන්වීම,1
විපාක දෙන,1
සාර්ථක,1
සාක්ෂාත් කර ගැනීම,1
ආකර්ෂණීය,1
සිත් ඇදගන්නා සුළුය,1
ප්‍රබුද්ධයි,1
අන්තර්,1
නිර්මාණශීලී,1
සහයෝගී,1
නවෝත්පාදක,1
සිතුවිලි අවුස්සන,1
උද්යෝගිමත්,1
දැනුමැතිය,1
සංවේදීයි,1
ප්‍රගතිශීලී,1
පරිවර්තනීය,1
ශක්ති සම්පන්න,1
පෝෂණය කිරීම,1
ඇතුළත්,1
නිර්මාණාත්මක,1
පරාවර්තක,1
ගතික,1
තෘප්තිමත්,1
ප්රීතිමත්,1
නඟා සිටුවීම,1
උද්යෝගිමත්,1
අර්ථවත්,1
තීක්ෂ්ණ බුද්ධියෙන් යුක්තයි,1
සැලකිලිමත්,1
ඉටු කරනවා,1
අගය කරන,1
ඵලදායි,1
තොරතුරු සහිතයි,1
විස්තීර්ණයි,1
ප්රවේශ විය හැකි,1
හොඳින් ව්‍යුහගතයි,1
ප්රතිචාරාත්මක,1
ප්‍රායෝගිකයි,1
නම්යශීලී,1
ගිල්වන,1
ඵලදායී,1
විනෝද,1
ප්‍රගති ලුහුබැඳීම,1
පුද්ගලීකරණය කර ඇත,1
උත්තේජනය කිරීම,1
පැහැදිලි,1
හොඳින් සැලසුම් කර ඇත,1
වටිනා,1
ආශ්වාදජනකයි,1
මිතුරන්ගේ අන්තර්ක්‍රියා,1
වෘත්තීය,1
උපකාරක ප්රජාව,1
වෘත්තිය නැඹුරු,1
පරිශීලක කේන්ද්‍රීය,1
වර්ධනය දිරිමත් කිරීම,1
යාත්‍රා කළ හැකි,1
හොඳින් ඉදිරිපත් කර ඇත,1
ගතික ඉගෙනීම,1
ප්‍රශංසනීය,1
හොඳ,1
මහා,1
අරුම පුදුම,1
විශිෂ්ටයි,1
හරි හරී,0
සාමාන්යය,0
ප්රමාණවත්,0
සමබරයි,0
මධ්යස්ථ,0
සම්මත,0
පොදු,0
සුපුරුදු,0
දර්ශීය,0
හොදට,1
නිරත වෙනවා,1
අන්තර්ක්‍රියාකාරී,1
ආශ්වාදජනකයි,1
දිරිගන්වන සුළුය,1
ආධාරක,1
බලගැන්වීම,1
සාරවත් කිරීම,1
පරිවර්තනීය,1
නවෝත්පාදක,1
පෙළඹවීම,1
ඵලදායී,1
පෝෂණය කිරීම,1
සහයෝගී,1
ගතික,1
ප්‍රගතිශීලී,1
ප්‍රබුද්ධයි,1
හිතට වදිනවා,1
සංජානනීය උත්තේජනය,1
අනුවර්තනය,1
හොලිස්ටික්,1
ප්රායෝගිකයි,1
පරිණාමය වෙනවා,1
පරාවර්තක,1
ශිෂ්‍ය කේන්ද්‍රීය,1
කුසලතා-වැඩිදියුණු කිරීම,1
ගවේෂණාත්මක,1
නිර්මාණාත්මක,1
විසඳුම-නැඹුරු,1
විස්තීර්ණයි,1
ජීවිත කාලය පුරාම ඉගෙනීම,1
ජයග්රහණය,1
අභිලාෂකාමී,1
දීප්තිය,1
නිර්මාණශීලීත්වය,1
කුතුහලය,1
කැපවීම,1
බලගැන්වීම,1
බුද්ධත්වය,1
ගවේෂණය,1
වර්ධනය,1
නවෝත්පාදනය,1
ආශ්වාදයක්,1
බුද්ධිමය,1
දැනුම,1
ඉගෙන ගන්නවා,1
ප්‍රවීණත්වය,1
අභිප්රේරණය,1
අවස්ථාවක්,1
ආශාව,1
නොපසුබට උත්සාහය,1
විභවය,1
ප්රගතිය,1
ඔරොත්තු දීමේ හැකියාව,1
සාර්ථකත්වය,1
පරිවර්තනය,1
අවබෝධය,1
ප්රඥාව,1
කම්මැලිකම,-1
එපා වෙනවා,-1
කලකිරීමයි,-1
ව්යාකූලත්වය,-1
යටපත් වී ඇත,-1
විසන්ධි කිරීම,-1
වැරදි සන්නිවේදනය,-1
අකාර්යක්ෂමතාව,-1
විකෘති ඉගෙනීම,-1
ඒකාකාරී,-1
ප්රමාණවත් නොවේ,-1
යල් පැන ගිය,-1
ආස්වාදයක් නැති,-1
දෘඪතාව,-1
අභිප්රේරණය නොකළ,-1
එකතැන පල්වීම,-1
ලජ්ජාව,-1
බැහැර කිරීම,-1
පසු මනසින් යුත්,-1
ප්‍රමිතිගත කර ඇත,-1
අතිරික්ත,-1
අධෛර්යමත් කරනවා,-1
ඛණ්ඩනය වී ඇත,-1
ප්රතිචාර නොදක්වයි,-1
නොගැලපෙන,-1
සහය නොදක්වන,-1
යල් පැන ගිය,-1
උද්දීපනය නොකරන,-1
සූදානම් නැතිකම,-1
සියල්ලටම එක ප්‍රමාණයේ,-1
ප්රමාණවත් නොවේ,-1
අසංවිධානාත්මක,-1
අභිප්රේරණය නොකළ,-1
අකාර්යක්ෂමයි,-1
අවුල් සහගතයි,-1
අසංවිධානාත්මකයි,-1
ප්රතිචාර නොදක්වයි,-1
පුනරාවර්තන,-1
ආස්වාදයක් නැති,-1
බරයි,-1
ඒකාකාරී,-1
අතිමහත්,-1
පුද්ගල නොවන,-1
අතිරික්ත,-1
කාර්ය මණ්ඩලය අඩුයි,-1
අනම්ය,-1
අභියෝග රහිතයි,-1
නොගැලපෙන,-1
සහාය නොදක්වයි,-1
පුද්ගල නොවන,-1
විසන්ධි විය,-1
නීරස,-1
උපදෙස්,0
අධ්‍යාපනය,0
තක්සේරුව,0
රාමුව,0
විචික්ෂණ,0
භාරදීම,0
ප්රවේශය,0
අන්තර්ගතය,0
පුරුදු කරන්න,0
තාක්ෂණය,0
ක්රමවේදය,0
උපාය මාර්ගය,0
ක්රියාවලිය,0
ක්රියාත්මක කිරීම,0
ප්රතිපෝෂණ,0
ඇගයීම,0
විෂය මාලාව,0
ප්රතිඵලය,0
ඉගෙනීමේ ප්රතිඵල,0
අරමුණ,0
සම්මත,0
අවශ්යතාවය,0
නිර්ණායකය,0
සන්ධිස්ථානය,0
ජයග්රහණය,0
නිර්ණායක,0
සංරචකය,0
පැතිකඩ,0
සාධකය,0
පහසුකම් සපයන්නා,0
අපැහැදිලියි,-1
බැහැ,-1
අමාරුයි,-1
පහසු,1
ප්රයෝජනවත් නොවේ,-1
ප්රයෝජනවත්,1
හොඳ නැහැ,-1
පින්,1
තෙරෙනවා,1
මරු,1
හරිම පැහැදිලි,1
දුර්වල,-1
ස්තූති,1
බෑ,-1
සරලයි,1
not bad,1
Boredom,-1
Frustration,-1
Confusion,-1
Overwhelmed,-1
Disengagement,-1
Miscommunication,-1
Ineffectiveness,-1
Rote Learning,-1
Monotonous,-1
Insufficient,-1
Obsolete,-1
Uninspiring,-1
Rigidity,-1
Unmotivated,-1
Stagnation,-1
Lackluster,-1
Exclusion,-1
Narrow-Minded,-1
Standardized,-1
Redundant,-1
Discouraging,-1
Fragmented,-1
Unresponsive,-1
Unengaging,-1
Unsupportive,-1
Outdated,-1
Superficial,-1
Unstimulating,-1
Unpreparedness,-1
One-Size-Fits-All,-1
Engaging,1
Interactive,1
Inspirational,1
Encouraging,1
Supportive,1
Empowering,1
Enriching,1
Transformative,1
Innovative,1
Motivating,1
Effective,1
Nurturing,1
Collaborative,1
Dynamic,1
Progressive,1
Enlightening,1
Thought-provoking,1
Cognitively Stimulating,1
Adaptive,1
Holistic,1
Practical,1
Evolving,1
Reflective,1
Student-Centered,1
Skills-Enhancing,1
Exploratory,1
Constructive,1
Solution-Oriented,1
Comprehensive,1
Life-Long Learning,1
great!,1
teaching,0
learning,0
easy!,1
can't,-1
teach,0
nice,1
good,1
rambling,-1
Presentation,0
content,0
tough,-1
interesting,1
discussions,0
dry,-1
instructor,0
pass,1
bad,0
excellent,1
information,0
mistake,-1
course,0
training,0
detailed,1
quizzes,0
appreciate,1
best,1
certification,0
worse,-1
better,1
perfect,1
awesome,1
broing,-1
useful,1
fundermentals,0
love,1
amazing,1
clear,1
concise,1
helpful,1
understandable,1
informative,1
worthless,-1
horrible,-1
unwatchable,-1
useful,1
dull,-1
Poorly,-1
hard,-1
dead,-1
missing,-1
detailed,1
learned,1
enjoyed,1
typos,-1
Mistakes,-1
higher level ,1
cannot,-1
generously,1
passionate,1
enthusiasm,1
slow,-1
like,1
discouraged,-1
recommend,1
uninteresting,-1
Valuable,1
insightful,1
informative,1
enriching,1
helped,1
bad,-1
